"ID"	"ORF"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"5290_at"	5290	0.0866206370000011	8.2964273338	1.00116111234015	0.327893879074135	0.709614641451229	-5.99505763108449
"1368_at"	1368	-0.120519961200003	8.3922867229	-1.00114903616865	0.327899583212058	0.709614641451229	-5.99506943768298
"22909_at"	22909	-0.0803355543000004	6.82949964915	-1.00111040901048	0.327917829079922	0.709614641451229	-5.99510720170882
"23480_at"	23480	-0.0448100120000063	12.989776575	-1.0008391009455	0.328046003640604	0.709709494120953	-5.99537241002242
"6490_at"	6490	0.0665456510000011	7.4898098564	1.00076933744528	0.328078967763038	0.709709494120953	-5.99544059448846
"390992_at"	390992	-0.0671691075999998	4.5374615058	-1.00072378140653	0.32810049480062	0.709709494120953	-5.99548511707581
"6585_at"	6585	-0.0612516386999999	5.50353241765	-1.00069353272673	0.328114789045293	0.709709494120953	-5.99551467853833
"340359_at"	340359	0.0707445196999998	5.95815527765	1.00032227106023	0.328290266825599	0.709953821653304	-5.99587743938677
"405754_at"	405754	-0.0669425323000006	4.65966383325	-1.00029250742459	0.328304337506542	0.709953821653304	-5.99590651622391
"79809_at"	79809	-0.0687338636000021	5.3183083858	-1.00001787713993	0.328434188021255	0.710151785832288	-5.99617477228732
"619279_at"	619279	-0.0393972489000012	4.75896322335	-0.999842009121185	0.328517360558007	0.710248786867043	-5.99634652320937
"54906_at"	54906	-0.0587005127000015	6.16046614545	-0.999008790260794	0.32891161012555	0.710960418224918	-5.99715986305088
"29113_at"	29113	0.0577458880999986	5.64621108995	0.998799755124865	0.329010569644211	0.710960418224918	-5.99736381427953
"338323_at"	338323	0.0465661147000005	3.66825789885	0.998718999441793	0.329048805801394	0.710960418224918	-5.99744259552671
"84240_at"	84240	-0.0893352411000006	9.45167259075	-0.998705792391045	0.3290550593621	0.710960418224918	-5.99745547912067
"51297_at"	51297	-0.455384228600002	7.4050965539	-0.998660112742036	0.329076689388708	0.710960418224918	-5.99750003882495
"7263_at"	7263	0.108388001999993	10.479026921	0.998600229458662	0.329105046552688	0.710960418224918	-5.9975584511209
"166378_at"	166378	0.0528317262999991	4.60917671535	0.998579288075392	0.329114963547454	0.710960418224918	-5.9975788773434
"200232_at"	200232	-0.0735334133000034	4.13744483665	-0.998121217889089	0.329331939006817	0.711313453918896	-5.99802558150595
"10600_at"	10600	-0.085055463599998	9.2684607239	-0.998048791320144	0.329366254599991	0.711313453918896	-5.998096193903
"55034_at"	55034	-0.128833791400007	10.4159172043	-0.997991301615482	0.329393494896905	0.711313453918896	-5.99815224026376
"100874055_at"	100874055	0.0405007342999992	3.62976589195	0.99724274357078	0.329748326199387	0.711868275952174	-5.99888173692607
"55900_at"	55900	-0.070810348200002	7.3081881611	-0.997212505676318	0.329762665128096	0.711868275952174	-5.99891119437856
"55486_at"	55486	-0.0724041770000028	10.1872472045	-0.997098360006621	0.32981679735223	0.711868275952174	-5.9990223866202
"7415_at"	7415	-0.041934384000001	10.72257916	-0.997050182755603	0.329839646689164	0.711868275952174	-5.99906931384932
"390260_at"	390260	0.0667957718000007	5.2445951727	0.997044350691154	0.329842412774647	0.711868275952174	-5.99907499445329
"26086_at"	26086	-0.0603827717000023	8.13318617005	-0.996772407776583	0.329971410241648	0.711982480941733	-5.99933984136973
"122665_at"	122665	0.0680819916999988	5.86578366295	0.996770872657321	0.329972138532357	0.711982480941733	-5.99934133624553
"23038_at"	23038	0.0699679344999984	6.63991725855	0.996683290605048	0.330013691023005	0.711989272416559	-5.99942661884911
"101929646_at"	101929646	0.0691090797999987	4.1245983045	0.996353130702331	0.330170364940652	0.71224440256397	-5.99974804919393
"79991_at"	79991	0.084514860099997	7.90928764375	0.996256868381236	0.330216054923803	0.712260086356297	-5.99984174806286
"2693_at"	2693	-0.0420901917999998	8.1966670742	-0.995670854173078	0.330494295489322	0.712777308524493	-6.00041197912954
"27112_at"	27112	-0.122148751099997	5.92308914505	-0.995505439259448	0.330572864178237	0.712851565698356	-6.00057288368036
"23526_at"	23526	0.0614718713999993	5.8639203801	0.995436465093971	0.330605629315198	0.712851565698356	-6.00063996994465
"1907_at"	1907	-0.0841378237000017	7.49300248135	-0.994845805688418	0.330886305317513	0.713361184812886	-6.00121428916105
"10322_at"	10322	-0.0483410920999985	7.19033369995	-0.994747807431605	0.330932889165781	0.713361184812886	-6.00130954636533
"56155_at"	56155	-0.0670731898000012	5.3248628488	-0.994696212526567	0.330957416828072	0.713361184812886	-6.00135969470819
"55624_at"	55624	0.0485833483999976	9.3704251126	0.99428480423082	0.331153040961416	0.713641779124603	-6.00175948370379
"56882_at"	56882	-0.0631182929000023	9.20289010205	-0.994260533503294	0.331164584163599	0.713641779124603	-6.00178306425834
"55116_at"	55116	-0.0471149544000022	7.1624257673	-0.994129444139752	0.331226935321271	0.713693183858791	-6.00191041685307
"131831_at"	131831	0.0596352764999981	4.17945425435	0.993899223620733	0.331336456757649	0.713703347698488	-6.00213403783648
"552889_at"	552889	-0.0989515155999996	7.545171057	-0.993888536687947	0.331341541397585	0.713703347698488	-6.00214441727135
"993_at"	993	0.0757619530000007	5.4708618873	0.99380148201789	0.33138296237147	0.713703347698488	-6.00222896331124
"283092_at"	283092	0.0899716926000007	4.3520294084	0.993795850494191	0.331385641997335	0.713703347698488	-6.0022344323208
"29999_at"	29999	0.0593953472999988	5.62610961255	0.993596771138912	0.331480378788297	0.713824456075762	-6.00242774853602
"3006_at"	3006	0.105391022099994	9.26339062255	0.993448682574262	0.331550862524171	0.71389331478927	-6.00257152722979
"711_at"	711	-0.0629161949000006	4.15966899505	-0.993236066115391	0.331652076883189	0.714028318817494	-6.00277792173675
"6886_at"	6886	-0.0605428272000008	4.3817064378	-0.992420706864324	0.332040420406834	0.714781392698827	-6.00356904776199
"90737_at"	90737	0.0531926206999991	6.14904528565	0.992320328757756	0.332088250758068	0.714801356182959	-6.00366640165417
"3441_at"	3441	0.102614069199999	3.8277972361	0.992121793123768	0.332182867391227	0.714846096378355	-6.00385892936282
"10395_at"	10395	-0.0501859197000014	4.92502215895	-0.992114896203804	0.332186154609177	0.714846096378355	-6.00386561694346
"340168_at"	340168	0.0980710358999994	4.38443912395	0.992020103991297	0.332231336863504	0.714860347506093	-6.00395752767961
